Number_of_Words Error_Prob False_Pos False_Neg
10 0.2816 225 1183
20 0.0918 192 267
30 0.1122 302 259
40 0.0934 272 195
50 0.074 253 117
60 0.0754 267 110
70 0.075 265 110
80 0.0688 238 106
90 0.056 175 105
100 0.051 150 105
110 0.052 154 106
120 0.0436 125 93
130 0.0446 125 98
140 0.0414 110 97
150 0.0364 90 92
160 0.0334 96 71
170 0.0334 93 74
180 0.0338 95 74
190 0.0336 92 76
200 0.0314 83 74
210 0.0352 101 75
220 0.0298 74 75
230 0.0278 74 65
240 0.0282 78 63
250 0.0302 82 69
260 0.0338 82 87
270 0.0348 82 92
280 0.0328 82 82
290 0.0298 83 66
300 0.0286 77 66
310 0.029 80 65
320 0.0274 70 67
330 0.025 56 69
340 0.025 56 69
350 0.022 54 56
360 0.0218 54 55
370 0.0224 54 58
380 0.0228 54 60
390 0.0224 54 58
400 0.0234 56 61
410 0.024 57 63
420 0.0242 57 64
430 0.025 57 68
440 0.0256 56 72
450 0.0258 55 74
460 0.026 55 75
470 0.0264 55 77
480 0.0268 55 79
490 0.0266 54 79
500 0.0266 53 80
510 0.0272 53 83
520 0.0266 52 81
530 0.0268 54 80
540 0.0264 49 83
550 0.0234 49 68
560 0.0224 44 68
570 0.0232 44 72
580 0.0232 44 72
590 0.0232 44 72
600 0.0216 38 70
610 0.0218 39 70
620 0.0208 36 68
630 0.0206 38 65
640 0.0196 38 60
650 0.0192 37 59
660 0.019 40 55
670 0.019 40 55
680 0.0186 40 53
690 0.019 41 54
700 0.0188 41 53
710 0.019 39 56
720 0.0192 40 56
730 0.0184 37 55
740 0.0182 37 54
750 0.0184 37 55
760 0.0186 37 56
770 0.0186 36 57
780 0.0182 35 56
790 0.0184 35 57
800 0.018 36 54
810 0.0178 35 54
820 0.0178 35 54
830 0.0178 35 54
840 0.0176 35 53
850 0.017 35 50
860 0.017 35 50
870 0.0168 34 50
880 0.017 34 51
890 0.017 34 51
900 0.017 33 52
910 0.0168 33 51
920 0.017 33 52
930 0.0168 34 50
940 0.0168 35 49
950 0.017 35 50
960 0.0166 34 49
970 0.0164 34 48
980 0.0168 35 49
990 0.0164 35 47
1000 0.0162 35 46
1024 0.0154 35 42
2048 0.016 29 51
4096 0.0088 21 23
8192 0.007 12 23
9579 0.0068 11 23
